,City,Lat,Lng,Max Temp,Humidity,Cloudiness,WindSpeed,Country,Date
63,Torbay,47.67,-52.73,55.99,30,90,23.04,CA,1589042663
64,Kapaa,22.08,-159.32,73.4,78,90,13.87,US,1589042663
65,Englehart,47.82,-79.87,28.4,58,90,14.99,CA,1589042663
66,Puerto Ayora,-0.74,-90.35,84.2,70,40,13.87,EC,1589042664
67,Upernavik,72.79,-56.15,21.0,94,100,11.03,GL,1589042664
68,Sambava,-14.27,50.17,78.06,79,100,14.2,MG,1589042664
69,Aranos,-24.13,19.12,69.93,23,0,7.83,NA,1589042664
70,Vila Franca do Campo,37.72,-25.43,64.4,88,20,21.92,PT,1589042664
71,Faya,18.39,42.45,75.2,53,19,9.17,SA,1589042101
72,Jamestown,42.1,-79.24,32.0,80,90,14.99,US,1589042071
73,Saskylakh,71.92,114.08,18.3,94,100,15.97,RU,1589042665
74,Kamaishi,39.27,141.88,57.56,73,100,0.87,JP,1589042666
75,Tomatlán,19.93,-105.25,95.58,32,0,6.49,MX,1589042666
76,Faanui,-16.48,-151.75,81.45,82,10,18.99,PF,1589042070
77,Boyolangu,-8.12,111.89,76.08,90,100,4.72,ID,1589042666
78,Half Moon Bay,37.46,-122.43,63.0,87,75,3.36,US,1589042667
79,Ha Tinh,18.33,105.9,82.53,79,38,1.97,VN,1589042667
80,Pecos,31.42,-103.49,68.0,34,1,10.29,US,1589042667
81,Lebu,-37.62,-73.65,59.5,75,3,17.67,CL,1589042668
82,São Filipe,14.9,-24.5,75.02,73,29,13.49,CV,1589042104
83,Adrar,20.5,-10.07,101.5,9,0,14.29,MR,1589042093
84,Bratsk,56.13,101.61,48.2,49,62,6.71,RU,1589042668
85,Hong Kong,22.29,114.16,84.0,81,4,4.0,HK,1589042490
86,Dovolnoye,54.5,79.67,59.29,61,0,7.11,RU,1589042669
87,Castro,-24.79,-50.01,69.91,43,0,5.44,BR,1589042088
88,New Norfolk,-42.78,147.06,41.0,85,76,3.06,AU,1589042669
89,Khovd,48.01,91.64,45.97,45,0,3.56,MN,1589042669
90,Saldanha,-33.01,17.94,86.0,27,0,2.24,ZA,1589042119
91,Dikson,73.51,80.55,27.68,97,64,18.84,RU,1589042670
92,Ngama,11.78,17.17,103.5,9,0,8.52,TD,1589042670
93,Ponta do Sol,32.67,-17.1,73.4,49,20,6.93,PT,1589042095
94,Taltal,-25.4,-70.48,66.9,57,44,6.26,CL,1589042137
95,Haverfordwest,51.8,-4.97,69.8,68,98,9.17,GB,1589042671
96,Laguna,38.42,-121.42,73.0,46,5,6.93,US,1589042103
97,Penzance,50.12,-5.54,66.2,52,100,17.22,GB,1589042536
98,Isabela,6.71,121.97,82.29,82,98,5.39,PH,1589042671
99,Lusambo,-4.97,23.45,80.31,68,86,2.33,CD,1589042672
100,Petropavlovsk-Kamchatskiy,53.05,158.65,33.8,64,3,4.47,RU,1589041925
101,Cham,47.18,8.46,77.0,36,45,4.7,CH,1589042672
102,Longyearbyen,78.22,15.64,19.96,88,77,5.23,SJ,1589042568
103,Fortuna,40.6,-124.16,55.99,100,90,5.3,US,1589042084
104,Zheleznodorozhnyy,55.75,38.0,57.2,62,20,6.71,RU,1589042673
105,Brae,60.4,-1.35,42.8,75,98,23.04,GB,1589042673
106,Yumen,40.28,97.2,51.64,39,0,17.63,CN,1589042077
107,Carnarvon,-24.87,113.63,75.25,39,100,10.49,AU,1589042673
108,Hearst,49.68,-83.67,35.29,80,100,11.27,CA,1589042547
109,Kushiro,42.98,144.37,48.52,73,31,9.86,JP,1589042674
110,Seymchan,62.88,152.43,26.51,95,61,9.04,RU,1589042674
111,Tazovsky,67.47,78.7,28.96,98,1,10.4,RU,1589042674
112,Bam,29.11,58.36,85.5,13,71,7.58,IR,1589042675
113,Klaksvík,62.23,-6.59,35.6,51,97,16.11,FO,1589042675
114,Broome,42.25,-75.83,37.99,50,90,14.99,US,1589042675
115,Lompoc,34.64,-120.46,68.0,100,90,5.03,US,1589041853
116,Taos,36.41,-105.57,57.99,26,1,8.05,US,1589042496
117,Harper,4.38,-7.72,83.46,80,68,9.78,LR,1589042676
118,Zhangye,38.93,100.45,57.45,28,92,3.4,CN,1589042676
119,Tegul'det,57.31,88.17,57.29,79,55,5.32,RU,1589042138
120,Ilulissat,69.22,-51.1,33.8,74,75,5.82,GL,1589042677
121,Kaeo,-35.1,173.78,54.0,3,90,3.0,NZ,1589042677
122,Forsytheganj,52.63,29.73,54.14,67,100,2.26,BY,1589042677
123,Provideniya,64.38,-173.3,34.21,89,100,16.51,RU,1589042081
124,Port Hardy,50.7,-127.42,55.4,62,75,3.36,CA,1589042678
125,Mount Gambier,-37.83,140.77,42.8,81,30,6.93,AU,1589041848
126,Srednekolymsk,67.45,153.68,25.27,96,26,7.87,RU,1589042678
127,Iqaluit,63.75,-68.51,35.6,69,75,8.05,CA,1589041970
128,Ostrovnoy,68.05,39.51,35.29,86,100,6.55,RU,1589042144
129,Rawson,-43.3,-65.1,66.94,31,0,24.74,AR,1589042679
130,Hualmay,-11.1,-77.61,72.5,69,49,10.33,PE,1589042137
131,Korla,41.76,86.15,68.95,23,9,3.76,CN,1589042139
132,Ketchikan,55.34,-131.65,60.8,62,1,12.75,US,1589042679
133,Goderich,43.75,-81.72,37.99,80,88,5.01,CA,1589041828
134,Saint-Prosper,46.21,-70.48,39.0,43,100,8.01,CA,1589042680
135,Tari,12.41,4.49,106.0,13,62,5.1,NG,1589042680
136,Berlevåg,70.86,29.09,34.21,84,85,6.15,NO,1589042141
137,Port Elizabeth,-33.92,25.57,64.4,93,10,5.82,ZA,1589042661
138,Tuatapere,-46.13,167.68,51.15,85,34,6.55,NZ,1589042104
139,Kumul,42.8,93.45,60.13,30,1,12.93,CN,1589042681
140,Grudziądz,53.48,18.75,66.99,55,62,1.01,PL,1589042681
141,Hilo,19.73,-155.09,68.0,82,1,4.7,US,1589042638
142,San Patricio,19.22,-104.7,87.8,74,5,9.17,MX,1589042682
143,Langsa,4.47,97.97,76.41,93,100,1.81,ID,1589042682
144,Caravelas,-17.71,-39.25,76.41,60,49,14.03,BR,1589042682
145,Flinders,-34.58,150.86,55.99,58,0,4.0,AU,1589042631
146,Fairbanks,64.84,-147.72,52.0,51,1,4.7,US,1589041931
147,Tual,-5.67,132.75,83.39,76,5,17.81,ID,1589042683
148,Pevek,69.7,170.31,33.69,84,52,4.45,RU,1589042683
149,Lüderitz,-26.65,15.16,80.6,42,0,3.36,NA,1589042087
150,Khashuri,41.99,43.6,48.25,88,99,4.09,GE,1589042684
151,Yuty,-26.6,-56.25,78.17,30,0,8.97,PY,1589042684
152,Smithers,54.78,-127.17,60.8,36,75,11.41,CA,1589042457
153,‘Āhuimanu,21.44,-157.84,78.8,61,20,6.93,US,1589042685
154,Tigil',57.8,158.67,31.26,98,100,18.14,RU,1589042685
155,Antalaha,-14.9,50.28,76.1,81,99,10.07,MG,1589042685
156,Forio,40.73,13.86,70.0,63,75,3.36,IT,1589042685
157,Saint George,37.1,-113.58,79.0,17,1,3.36,US,1589042685
158,Hasaki,35.73,140.83,64.4,72,75,9.17,JP,1589042089
159,Clyde River,70.47,-68.59,14.0,85,90,17.22,CA,1589042686
160,Talnakh,69.49,88.4,32.0,98,75,15.66,RU,1589042096
161,Catabola,-12.15,17.28,66.56,62,2,1.92,AO,1589042686
162,Gemeente Wageningen,51.97,5.67,75.2,27,0,5.82,NL,1589042686
163,Orhangazi,40.49,29.31,66.2,37,0,9.17,TR,1589042687
164,Ezequiel Montes,20.67,-99.88,68.0,60,40,12.75,MX,1589042687
165,Ust-Kuyga,70.02,135.6,26.78,97,100,2.04,RU,1589042687
166,Spasskoye,44.61,132.8,52.11,81,100,5.35,RU,1589042688
167,Kangalassy,62.35,129.96,28.4,74,75,8.95,RU,1589042688
168,Luanda,-8.84,13.23,82.4,78,20,6.93,AO,1589042631
169,San Quintín,30.48,-115.95,69.67,65,73,4.59,MX,1589042688
170,Saint-Louis,16.33,-15.0,111.2,12,66,2.24,SN,1589042689
171,Gazli,40.13,63.45,73.99,40,23,8.59,UZ,1589042689
172,Voskresenskoye,56.84,45.43,55.33,94,100,4.54,RU,1589042689
173,Mar del Plata,-38.0,-57.56,69.01,63,0,25.28,AR,1589042689
174,Thompson,55.74,-97.86,30.2,54,75,13.87,CA,1589042690
175,Oktyabr'skiy,54.48,53.47,64.15,54,0,7.58,RU,1589042690
176,Qabaqçöl,41.72,46.26,53.6,100,90,2.24,AZ,1589042690
177,Zyryanskoye,56.83,86.63,59.86,68,79,7.29,RU,1589042690
178,Geraldton,-28.77,114.6,60.8,51,100,6.93,AU,1589042163
179,Constitución,-35.33,-72.42,62.67,76,42,5.46,CL,1589042004
180,Tongliao,43.61,122.27,59.18,48,97,6.71,CN,1589042691
181,Waingapu,-9.66,120.26,76.28,84,15,7.81,ID,1589042692
182,Samaná,19.21,-69.34,87.8,66,75,6.93,DO,1589042692
183,Lagoa,39.05,-27.98,63.27,90,59,27.47,PT,1589042692
184,Bengkulu,-3.8,102.27,76.86,92,98,3.49,ID,1589042476
185,Avarua,-21.21,-159.78,77.0,88,49,4.7,CK,1589042693
186,Los Negros,-17.73,-63.43,78.8,39,0,12.75,BO,1589042693
187,Luwuk,-0.95,122.79,79.14,81,100,6.6,ID,1589042693
188,Toamasina,-18.17,49.38,73.4,88,40,4.7,MG,1589042145
189,Mwinilunga,-11.74,24.43,65.88,67,98,5.68,ZM,1589042694
190,Tortolì,39.93,9.66,68.0,77,40,12.75,IT,1589042694
191,Ambulu,-8.35,113.61,76.69,90,100,3.91,ID,1589042694
192,Cidreira,-30.18,-50.21,70.25,51,1,5.86,BR,1589042100
193,Guerrero Negro,27.98,-114.06,72.41,57,20,9.84,MX,1589042113
194,Coquimbo,-29.95,-71.34,59.0,77,75,9.17,CL,1589042182
195,Ambilobe,-13.2,49.05,75.63,79,88,3.58,MG,1589042135
196,Methóni,36.82,21.7,73.0,37,57,6.93,GR,1589042695
197,Miramar,25.99,-80.23,87.01,51,1,4.7,US,1589042696
198,Vanimo,-2.67,141.3,78.93,84,2,3.0,PG,1589042696
199,Bollnäs,61.35,16.39,49.46,49,98,9.24,SE,1589042696
200,Çubuk,40.24,33.03,61.0,29,40,3.36,TR,1589042697
201,Kuching,1.55,110.33,78.8,88,40,1.12,MY,1589042697
202,Tàrrega,41.65,1.14,73.0,13,36,1.99,ES,1589042697
203,Nuevo Progreso,23.17,-97.95,78.01,65,94,7.0,MX,1589042697
204,Rundu,-17.93,19.77,77.0,29,6,5.82,NA,1589042697
205,Sur,22.57,59.53,85.89,51,0,3.22,OM,1589042698
206,Saint-Philippe,-21.36,55.77,75.2,73,75,6.93,RE,1589042698
207,Kaseda-shirakame,31.42,130.32,71.08,94,99,10.25,JP,1589042698
208,Guarujá,-23.99,-46.26,73.0,46,0,5.82,BR,1589042699
209,Kiama,-34.68,150.87,55.99,60,0,14.0,AU,1589042699
210,Ormara,25.21,64.64,82.96,76,0,15.57,PK,1589042149
211,Kaitangata,-46.28,169.85,50.0,90,14,4.0,NZ,1589042699
212,Vyazovaya,54.91,58.36,61.92,54,96,7.29,RU,1589042700
213,Bambous Virieux,-20.34,57.76,75.2,73,40,4.7,MU,1589042105
214,Dérac,19.65,-71.82,86.0,66,75,9.17,HT,1589042700
215,Micheweni,-4.97,39.83,80.69,75,70,18.16,TZ,1589042181
216,Wamba,8.93,8.6,74.32,76,84,10.98,NG,1589042700
217,Yangi Marg`ilon,40.43,71.72,68.0,60,100,2.24,UZ,1589042124
218,Zemio,5.03,25.14,77.09,74,84,3.94,CF,1589042701
219,Palmer,42.16,-72.33,42.01,32,75,25.28,US,1589041918
220,Cabo San Lucas,22.89,-109.91,86.0,20,5,5.82,MX,1589042484
221,Udachny,66.42,112.4,32.0,97,75,8.95,RU,1589041894
222,Pangnirtung,66.15,-65.71,32.0,87,90,6.93,CA,1589042702
223,Murupara,-38.47,176.7,46.99,99,4,3.0,NZ,1589042702
224,Norman Wells,65.28,-126.83,37.4,64,5,23.04,CA,1589042526
225,Itapetininga,-23.59,-48.05,71.83,49,0,5.35,BR,1589042550
226,Hay River,60.82,-115.8,30.2,74,40,12.75,CA,1589042703
227,Kruisfontein,-34.0,24.73,61.29,89,20,5.61,ZA,1589042151
228,Sarkand,45.41,79.92,64.72,36,100,5.93,KZ,1589042703
229,Baykit,61.67,96.37,55.47,75,100,9.73,RU,1589042704
230,Mahébourg,-20.41,57.7,75.2,73,40,4.7,MU,1589042704
231,Port Alfred,-33.59,26.89,64.0,95,27,9.91,ZA,1589042704
232,Banda Aceh,5.56,95.32,78.46,88,100,6.26,ID,1589042704
233,Kutum,14.2,24.67,82.94,13,0,11.83,SD,1589042704
234,Camopi,3.17,-52.32,81.66,91,46,3.71,GF,1589042705
235,Jinji,23.23,110.83,82.09,81,27,2.44,CN,1589042705
236,Requena,39.49,-1.1,64.99,77,78,11.99,ES,1589042705
237,Mareeba,-17.0,145.43,71.6,83,90,9.17,AU,1589042706
238,Gympie,-26.19,152.66,61.0,93,100,2.3,AU,1589042706
239,Nelson Bay,-32.72,152.15,55.99,87,0,8.05,AU,1589042146
240,Catia La Mar,10.6,-67.03,87.01,49,98,13.87,VE,1589042566
241,Gornopravdinsk,60.05,69.9,62.94,43,0,5.55,RU,1589042707
242,Kloulklubed,7.04,134.26,77.0,94,90,12.75,PW,1589042707
243,Amarante do Maranhão,-5.57,-46.74,86.63,63,49,7.94,BR,1589042645
244,Dwārka,22.24,68.97,82.58,86,0,12.15,IN,1589042708
245,Salinópolis,-0.61,-47.36,83.21,79,54,6.46,BR,1589042708
246,Doka,13.52,35.77,89.62,18,43,9.57,SD,1589042708
247,Cherskiy,68.75,161.3,33.19,87,41,5.68,RU,1589042709
248,Dingle,11.0,122.67,78.96,77,74,4.59,PH,1589042109
249,Mahon,39.89,4.27,68.0,82,75,9.17,ES,1589042709
250,Labuhan,-6.88,112.21,78.04,86,100,8.9,ID,1589042710
251,Coyhaique,-45.58,-72.07,50.0,81,75,6.93,CL,1589042157
252,Visnes,59.36,5.22,46.99,81,75,6.93,NO,1589042710
253,Ciudad Juárez,31.73,-106.48,75.0,22,20,4.7,MX,1589042665
254,Chui,-33.7,-53.46,66.78,50,40,9.26,UY,1589042139
255,New Glasgow,45.58,-62.65,45.0,95,100,8.01,CA,1589042711
256,Esperance,-33.87,121.9,48.2,93,0,9.17,AU,1589042711
257,Handan,36.6,114.47,59.5,62,0,6.53,CN,1589042711
258,Alta Floresta,-9.88,-56.09,91.4,55,75,6.93,BR,1589042166
259,Haines Junction,60.75,-137.51,50.99,53,98,1.74,CA,1589042646
260,Noumea,-22.28,166.46,71.01,93,15,3.36,NC,1589042712
261,Pyaozerskiy,65.83,31.17,35.53,96,100,8.77,RU,1589042712
262,Santa Cruz de la Sierra,-17.8,-63.17,78.8,39,0,12.75,BO,1589042649
263,San Juan,-31.54,-68.54,77.38,23,1,4.36,AR,1589042713
264,Khandagayty,50.73,92.05,41.86,57,0,1.28,RU,1589042713
265,Qaanaaq,77.48,-69.36,13.3,82,0,1.95,GL,1589042713
266,La Ronge,55.1,-105.28,37.4,59,20,10.29,CA,1589042714
267,Ogbomosho,8.13,4.25,91.51,51,62,5.61,NG,1589042714
268,Chara,56.91,118.26,32.29,84,88,1.92,RU,1589042714
269,Avera,33.19,-82.53,63.0,41,1,4.7,US,1589042125
270,Itaituba,-4.28,-55.98,93.2,56,40,5.82,BR,1589042715
271,Souillac,-20.52,57.52,75.2,73,40,4.7,MU,1589042715
272,Vao,-22.67,167.48,72.05,79,3,16.28,NC,1589042715
273,Olafsvik,64.89,-23.71,36.86,72,0,2.95,IS,1589042170
274,Shingū,33.73,135.98,62.13,96,100,2.95,JP,1589042716
275,Kailua,21.4,-157.74,78.8,61,20,6.93,US,1589042521
276,Nemuro,43.32,145.57,46.51,76,90,10.63,JP,1589042716
277,Nantucket,41.28,-70.1,46.99,56,75,28.86,US,1589042699
278,Tutóia,-2.76,-42.27,84.52,79,33,7.27,BR,1589042717
279,Pemberton,50.32,-122.8,57.2,47,5,2.24,CA,1589042717
280,Carballo,43.21,-8.69,64.0,69,100,3.0,ES,1589042717
281,Beipiao,41.79,120.78,60.91,44,99,4.5,CN,1589042718
282,Lixouri,38.2,20.43,71.6,43,20,4.59,GR,1589042718
283,Kangshan,28.88,116.43,69.4,76,100,15.84,CN,1589042718
284,Halifax,44.65,-63.57,45.0,85,100,3.0,CA,1589042490
285,Chone,-0.68,-80.1,87.1,66,59,2.51,EC,1589042719
286,Kholm-Zhirkovskiy,55.52,33.47,52.54,59,90,4.36,RU,1589042719
287,Abhā,18.22,42.51,75.2,53,37,9.17,SA,1589042719
288,Derzhavīnsk,51.1,66.32,67.46,42,96,12.64,KZ,1589042720
289,Pacasmayo,-7.4,-79.57,73.63,72,34,11.83,PE,1589042720
290,Chester,40.13,-75.87,42.01,41,75,21.92,US,1589042708
291,Kudahuvadhoo,2.67,72.89,85.03,79,100,14.52,MV,1589042720
292,Maniitsoq,65.42,-52.9,42.44,64,81,15.57,GL,1589042721
293,Gimli,50.63,-96.99,41.0,51,73,10.0,CA,1589042651
294,Grants Pass,42.44,-123.33,68.0,52,1,0.69,US,1589042721
295,Afántou,36.29,28.16,69.8,56,0,17.22,GR,1589042721
296,Diffa,13.32,12.61,100.69,10,26,12.71,NE,1589042722
297,Batagay,67.63,134.63,25.88,98,100,3.04,RU,1589042722
298,Padang,-0.95,100.35,79.95,72,100,2.55,ID,1589042723
299,Mirny,62.54,113.96,32.32,98,100,10.04,RU,1589042723
300,Sitka,57.05,-135.33,55.4,50,75,6.93,US,1589042723
301,Petrovsk-Zabaykal'skiy,51.27,108.84,34.05,84,0,4.81,RU,1589042724
302,Leshukonskoye,64.9,45.76,43.32,83,30,5.79,RU,1589042182
303,Şuraabad,40.82,49.47,57.2,87,90,20.8,AZ,1589042724
304,Lorengau,-2.02,147.27,82.42,76,14,4.0,PG,1589042169
305,Bonavista,48.65,-53.11,40.96,69,72,16.15,CA,1589042725
306,Diego de Almagro,-26.37,-70.05,82.33,18,17,9.1,CL,1589042725
307,Rocha,-34.48,-54.33,65.44,54,69,11.7,UY,1589042725
308,Mount Isa,-20.73,139.5,71.6,24,0,17.22,AU,1589042725
309,Los Llanos de Aridane,28.66,-17.92,73.4,69,20,14.99,ES,1589042726
310,Itarema,-2.92,-39.92,83.95,77,90,8.88,BR,1589042726
311,Xiongzhou,25.12,114.3,77.81,88,99,2.75,CN,1589042726
312,San Vicente de Cañete,-13.08,-76.38,72.48,68,71,6.6,PE,1589042727
313,Tarata,-17.62,-66.02,75.2,22,0,1.86,BO,1589042727
314,Kieta,-6.22,155.63,79.47,80,37,4.41,PG,1589042183
315,Elliot Lake,46.38,-82.63,35.6,47,75,11.41,CA,1589042476
316,Atherton,53.52,-2.49,77.0,40,51,4.0,GB,1589042728
317,Tura,25.52,90.22,77.85,39,26,4.14,IN,1589042728
318,Malvern,34.36,-92.81,64.0,38,1,6.93,US,1589042728
319,Çumra,37.57,32.77,57.2,47,20,10.29,TR,1589042728
320,Kandrian,-6.22,149.55,78.37,89,71,6.55,PG,1589042729
321,Praia da Vitória,38.73,-27.07,69.8,77,75,17.05,PT,1589042729
322,Bilma,18.69,12.92,96.75,8,0,5.66,NE,1589042729
323,Sobolevo,54.43,31.9,52.27,69,99,4.41,RU,1589042730
324,Nanning,22.82,108.32,82.4,83,0,4.47,CN,1589042730
325,Vestmanna,62.16,-7.17,35.6,51,81,16.11,FO,1589042730
326,Rizómata,40.35,22.2,72.0,37,10,5.82,GR,1589042731
327,Springbok,-29.66,17.89,70.11,23,0,9.86,ZA,1589042731
328,Havelock,34.88,-76.9,59.0,35,1,9.17,US,1589042731
329,Bassar,9.25,0.78,90.45,50,27,2.95,TG,1589042731
330,Marsá Maţrūḩ,31.35,27.25,66.2,68,17,10.29,EG,1589042692
331,Alofi,-19.06,-169.92,75.2,100,11,4.7,NU,1589042732
332,Mayo,38.89,-76.51,50.0,42,75,14.99,US,1589042485
333,Lewisburg,35.45,-86.79,57.2,33,1,10.29,US,1589042732
334,Filingué,14.35,3.32,106.68,7,8,9.84,NE,1589042733
335,Chazuta,-6.57,-76.14,82.4,58,20,3.36,PE,1589042733
336,Gwadar,25.12,62.33,85.17,65,2,11.01,PK,1589042733
337,Necochea,-38.55,-58.74,70.0,50,6,11.01,AR,1589042733
338,Gambēla,8.25,34.58,80.62,66,100,1.63,ET,1589042734
339,Eyl,7.98,49.82,85.06,70,0,10.58,SO,1589042734
340,El Alto,-4.27,-81.21,82.4,61,43,19.46,PE,1589042734
341,Bariloche,-41.15,-71.31,51.01,87,75,20.8,AR,1589042734
342,Maltahöhe,-24.83,16.98,71.13,22,0,9.01,NA,1589042735
343,Goma,-1.68,29.22,66.58,80,56,0.89,CD,1589042736
344,Popondetta,-8.75,148.25,74.19,93,43,2.21,PG,1589042737
345,Taldan,53.67,124.8,38.75,70,99,5.66,RU,1589042737
346,Mayumba,-3.43,10.66,79.77,83,100,6.04,GA,1589042737
347,Grand Gaube,-20.01,57.66,72.0,79,2,3.0,MU,1589042180
348,Te Horo,-40.81,175.12,55.0,93,0,7.09,NZ,1589042738
349,Davila,18.47,120.58,82.06,72,0,6.02,PH,1589042738
350,Barabai,-2.58,115.38,75.49,95,100,2.62,ID,1589042738
351,Quatre Cocos,-20.21,57.76,75.2,73,40,4.7,MU,1589042178
352,Kibungo,-2.16,30.54,71.6,73,40,10.29,RW,1589042738
353,Iskateley,67.68,53.15,32.31,98,97,4.38,RU,1589042739
354,Kasempa,-13.46,25.83,65.17,63,83,5.35,ZM,1589042739
355,Chapais,49.78,-74.85,24.8,73,90,12.75,CA,1589042739
356,Belyy Yar,53.6,91.39,46.4,61,0,3.31,RU,1589042740
357,Vikhorevka,56.12,101.16,48.2,49,67,6.71,RU,1589042740
358,Tautira,-17.73,-149.15,77.0,88,20,1.12,PF,1589042740
359,Sioux Lookout,50.1,-91.92,33.8,55,75,12.75,CA,1589042156
360,Sovata,46.58,25.07,70.0,32,20,3.36,RO,1589042741
361,Hambantota,6.12,81.12,78.8,100,40,2.24,LK,1589042741
362,Jalu,29.03,21.55,78.17,16,28,8.97,LY,1589042741
363,Sežana,45.71,13.87,72.0,68,5,2.13,SI,1589042715
364,Monte Santo,-10.44,-39.33,74.59,82,100,7.85,BR,1589042742
365,Katsuura,35.13,140.3,66.0,80,84,5.99,JP,1589042742
366,Guntakal,15.17,77.38,93.78,25,62,16.17,IN,1589042742
367,Urmary,55.68,47.94,64.4,63,40,8.95,RU,1589042742
368,Te Anau,-45.42,167.72,50.29,88,100,3.2,NZ,1589042743
369,Muravlenko,63.79,74.52,42.96,82,3,8.9,RU,1589042743
370,Evanston,42.04,-87.69,53.01,31,20,11.41,US,1589042743
371,Touros,-5.2,-35.46,82.4,78,75,12.75,BR,1589042743
372,Neyshabur,36.21,58.8,71.67,23,0,4.09,IR,1589042744
373,Liuzhou,24.31,109.39,81.46,79,0,5.35,CN,1589042744
